ticker,expiration,K,option_type,bid_price,ask_price,option_price,volume,open_interest,r,S,sigma,q,current_price,total_divs,S_no_dividend,T,pomer_K_S,option_style
^RUT,2026-01-26,2110,Put,0,0,0.11,2,2,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.7905108983644655,European
^RUT,2026-01-26,2200,Put,0,0,1.15,1,1,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.8242293727022864,European
^RUT,2026-01-26,2240,Call,0,0,450.58,1,1,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.8392153612968734,European
^RUT,2026-01-26,2250,Put,0,0,1.7,1,1,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.8429618584455202,European
^RUT,2026-01-26,2260,Call,0,0,410.28,60,30,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.8467083555941669,European
^RUT,2026-01-26,2300,Put,0,0,4.32,2,2,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.8616943441887539,European
^RUT,2026-01-26,2305,Put,0,0,4.57,2,2,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.8635675927630774,European
^RUT,2026-01-26,2310,Put,0,0,1.96,1,1,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.8654408413374007,European
^RUT,2026-01-26,2320,Put,0,0,4.56,1,1,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.8691873384860475,European
^RUT,2026-01-26,2325,Put,0,0,4.83,1,1,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.8710605870603708,European
^RUT,2026-01-26,2340,Put,0,0,1.65,1,19,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.876680332783341,European
^RUT,2026-01-26,2350,Call,0,0,236.26,NA,1,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.8804268299319877,European
^RUT,2026-01-26,2355,Put,0,0,0.82,NA,3,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.8823000785063111,European
^RUT,2026-01-26,2360,Put,0,0,2.05,NA,1,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.8841733270806345,European
^RUT,2026-01-26,2385,Put,0,0,0.32,3,26,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.8935395699522514,European
^RUT,2026-01-26,2390,Put,0,0,0.35,4,10,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.8954128185265747,European
^RUT,2026-01-26,2395,Put,0,0,5.07,NA,5,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.8972860671008981,European
^RUT,2026-01-26,2400,Put,0,0,0.27,4,11,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.8991593156752214,European
^RUT,2026-01-26,2405,Call,0,0,106.23,1,1,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.9010325642495449,European
^RUT,2026-01-26,2410,Put,0,0,0.03,1,29,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.9029058128238683,European
^RUT,2026-01-26,2415,Call,0,0,98.2,1,1,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.9047790613981916,European
^RUT,2026-01-26,2420,Put,0,0,0.08,1,31,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.906652309972515,European
^RUT,2026-01-26,2430,Put,0,0,3.4,1,1,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.9103988071211617,European
^RUT,2026-01-26,2440,Put,0,0,0.07,NA,1,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.9141453042698086,European
^RUT,2026-01-26,2445,Put,0,0,2.06,NA,64,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.9160185528441319,European
^RUT,2026-01-26,2450,Put,0,0,0.05,4,5,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.9178918014184553,European
^RUT,2026-01-26,2455,Put,0,0,0.05,11,16,0.0389,2669.159912109375,0.2300590297893169,0,2669.159912109375,0,2669.159912109375,0,0.9197650499927786,European
