Ticker,Description,Expiration,strike,Type,ExerciseStyle,bid,ask,lastPrice,volume,openInterest
NDX,NASDAQ 100,2026-01-17,18500.0,Call,European,1480.0,2220.0,1850.0,0,0
NDX,NASDAQ 100,2026-01-17,18500.0,Put,European,1110.0,1665.0,1480.0,0,0
NDX,NASDAQ 100,2026-01-17,19000.0,Call,European,1520.0,2280.0,1900.0,0,0
NDX,NASDAQ 100,2026-01-17,19000.0,Put,European,1140.0,1710.0,1520.0,0,0
NDX,NASDAQ 100,2026-01-17,19500.0,Call,European,1560.0,2340.0,1950.0,0,0
NDX,NASDAQ 100,2026-01-17,19500.0,Put,European,1170.0,1755.0,1560.0,0,0
NDX,NASDAQ 100,2026-01-17,20000.0,Call,European,1600.0,2400.0,2000.0,0,0
NDX,NASDAQ 100,2026-01-17,20000.0,Put,European,1200.0,1800.0,1600.0,0,0
NDX,NASDAQ 100,2026-01-17,20500.0,Call,European,1640.0,2460.0,2050.0,0,0
NDX,NASDAQ 100,2026-01-17,20500.0,Put,European,1230.0,1845.0,1640.0,0,0
NDX,NASDAQ 100,2026-01-17,21000.0,Call,European,1680.0,2520.0,2100.0,0,0
NDX,NASDAQ 100,2026-01-17,21000.0,Put,European,1260.0,1890.0,1680.0,0,0
NDX,NASDAQ 100,2026-01-24,18500.0,Call,European,1480.0,2220.0,1850.0,0,0
NDX,NASDAQ 100,2026-01-24,18500.0,Put,European,1110.0,1665.0,1480.0,0,0
NDX,NASDAQ 100,2026-01-24,19000.0,Call,European,1520.0,2280.0,1900.0,0,0
NDX,NASDAQ 100,2026-01-24,19000.0,Put,European,1140.0,1710.0,1520.0,0,0
NDX,NASDAQ 100,2026-01-24,19500.0,Call,European,1560.0,2340.0,1950.0,0,0
NDX,NASDAQ 100,2026-01-24,19500.0,Put,European,1170.0,1755.0,1560.0,0,0
NDX,NASDAQ 100,2026-01-24,20000.0,Call,European,1600.0,2400.0,2000.0,0,0
NDX,NASDAQ 100,2026-01-24,20000.0,Put,European,1200.0,1800.0,1600.0,0,0
NDX,NASDAQ 100,2026-01-24,20500.0,Call,European,1640.0,2460.0,2050.0,0,0
NDX,NASDAQ 100,2026-01-24,20500.0,Put,European,1230.0,1845.0,1640.0,0,0
NDX,NASDAQ 100,2026-01-24,21000.0,Call,European,1680.0,2520.0,2100.0,0,0
NDX,NASDAQ 100,2026-01-24,21000.0,Put,European,1260.0,1890.0,1680.0,0,0
NDX,NASDAQ 100,2026-01-31,18500.0,Call,European,1480.0,2220.0,1850.0,0,0
NDX,NASDAQ 100,2026-01-31,18500.0,Put,European,1110.0,1665.0,1480.0,0,0
NDX,NASDAQ 100,2026-01-31,19000.0,Call,European,1520.0,2280.0,1900.0,0,0
NDX,NASDAQ 100,2026-01-31,19000.0,Put,European,1140.0,1710.0,1520.0,0,0
NDX,NASDAQ 100,2026-01-31,19500.0,Call,European,1560.0,2340.0,1950.0,0,0
NDX,NASDAQ 100,2026-01-31,19500.0,Put,European,1170.0,1755.0,1560.0,0,0
NDX,NASDAQ 100,2026-01-31,20000.0,Call,European,1600.0,2400.0,2000.0,0,0
NDX,NASDAQ 100,2026-01-31,20000.0,Put,European,1200.0,1800.0,1600.0,0,0
NDX,NASDAQ 100,2026-01-31,20500.0,Call,European,1640.0,2460.0,2050.0,0,0
