ticker,expiration,K,option_type,bid_price,ask_price,option_price,volume,open_interest,r,S,sigma,q
^RUT,2026-01-26,2110.0,Put,0.0,0.0,0.11,2.0,2.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2200.0,Put,0.0,0.0,1.15,1.0,1.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2240.0,Call,0.0,0.0,450.58,1.0,1.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2250.0,Put,0.0,0.0,1.7,1.0,1.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2260.0,Call,0.0,0.0,410.28,60.0,30.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2300.0,Put,0.0,0.0,4.32,2.0,2.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2305.0,Put,0.0,0.0,4.57,2.0,2.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2310.0,Put,0.0,0.0,1.96,1.0,1.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2320.0,Put,0.0,0.0,4.56,1.0,1.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2325.0,Put,0.0,0.0,4.83,1.0,1.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2340.0,Put,0.0,0.0,1.65,1.0,19.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2350.0,Call,0.0,0.0,236.26,,1.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2355.0,Put,0.0,0.0,0.82,,3.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2360.0,Put,0.0,0.0,2.05,,1.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2385.0,Put,0.0,0.0,0.32,3.0,26.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2390.0,Put,0.0,0.0,0.35,4.0,10.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2395.0,Put,0.0,0.0,5.07,,5.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2400.0,Put,0.0,0.0,0.27,4.0,11.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2405.0,Call,0.0,0.0,106.23,1.0,1.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2410.0,Put,0.0,0.0,0.03,1.0,29.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2415.0,Call,0.0,0.0,98.2,1.0,1.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2420.0,Put,0.0,0.0,0.08,1.0,31.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2430.0,Put,0.0,0.0,3.4,1.0,1.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2440.0,Put,0.0,0.0,0.07,,1.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2445.0,Put,0.0,0.0,2.06,,64.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2450.0,Put,0.0,0.0,0.05,4.0,5.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2455.0,Put,0.0,0.0,0.05,11.0,16.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2460.0,Put,0.0,0.0,0.1,40.0,43.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2465.0,Put,0.0,0.0,0.07,3.0,33.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2470.0,Put,0.0,0.0,0.58,3.0,28.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2475.0,Put,0.0,0.0,0.52,4.0,4.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2480.0,Put,0.0,0.0,0.1,2.0,33.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2485.0,Put,0.0,0.0,0.1,4.0,16.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2490.0,Call,0.0,0.0,198.46,1.0,101.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2490.0,Put,0.0,0.0,0.15,2.0,24.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2495.0,Put,0.0,0.0,0.51,4.0,151.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2500.0,Call,0.0,0.0,188.7,1.0,1.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2500.0,Put,0.0,0.0,0.17,110.0,163.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2505.0,Call,0.0,0.0,184.22,1.0,1.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2505.0,Put,0.0,0.0,0.15,14.0,40.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2510.0,Call,0.0,0.0,179.41,1.0,101.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2510.0,Put,0.0,0.0,0.15,5.0,47.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2515.0,Put,0.0,0.0,0.2,5.0,15.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2520.0,Put,0.0,0.0,0.2,18.0,66.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2525.0,Call,0.0,0.0,205.36,2.0,2.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2525.0,Put,0.0,0.0,0.25,2.0,24.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
^RUT,2026-01-26,2530.0,Put,0.0,0.0,0.3,6.0,36.0,0.038900000000000004,2669.159912109375,0.23005902978931697,0.0
