ticker,expiration,K,option_type,bid_price,ask_price,option_price,volume,open_interest,r,S,sigma,T,user_bs,user_crr
AMD,2026-01-30,40,Call,0,0,192.11,NA,2,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,219.6969720026567,219.69697200266063
AMD,2026-01-30,50,Call,0,0,188,NA,2,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,209.70121683437557,209.70121683437944
AMD,2026-01-30,75,Call,0,0,163.26,3,3,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,184.71182891367272,184.71182891367627
AMD,2026-01-30,80,Call,0,0,154.45,2,2,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,179.71395132953216,179.7139513295358
AMD,2026-01-30,85,Call,0,0,177.25,7,7,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,174.7160737453916,174.71607374539514
AMD,2026-01-30,90,Call,0,0,167.03,3,14,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,169.71819616125103,169.71819616125455
AMD,2026-01-30,95,Call,0,0,168.32,1,2,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,164.72031857711045,164.72031857711394
AMD,2026-01-30,100,Call,0,0,159.05,17,7,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,159.7224409929699,159.72244099297336
AMD,2026-01-30,105,Call,0,0,154.62,8,39,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,154.72456340882934,154.72456340883272
AMD,2026-01-30,110,Call,0,0,146.85,7,22,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,149.72668582468873,149.72668582469208
AMD,2026-01-30,115,Call,0,0,138.23,8,10,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,144.72880824054818,144.7288082405514
AMD,2026-01-30,120,Call,0,0,139.26,2,10,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,139.73093065640762,139.73093065641086
AMD,2026-01-30,125,Call,0,0,133.44,9,27,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,134.73305307226704,134.7330530722702
AMD,2026-01-30,130,Call,0,0,127.8,6,37,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,129.7351754881265,129.73517548812958
AMD,2026-01-30,135,Call,0,0,125.78,1,15,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,124.7372979039859,124.73729790398906
AMD,2026-01-30,140,Call,0,0,120.14,17,41,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,119.73942031984535,119.73942031984845
AMD,2026-01-30,145,Call,0,0,114.5,6,14,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,114.74154273570477,114.74154273570785
AMD,2026-01-30,150,Call,0,0,109.34,10,208,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,109.74366515156422,109.74366515156726
AMD,2026-01-30,155,Call,0,0,107.14,2,12,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,104.74578756742363,104.74578756742662
AMD,2026-01-30,160,Call,0,0,98.77,4,49,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,99.74790998328305,99.74790998328598
AMD,2026-01-30,165,Call,0,0,93.37,10,27,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,94.75003239914275,94.75003239914541
AMD,2026-01-30,170,Call,0,0,89.87,15,117,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,89.75215481500925,89.75215481500538
AMD,2026-01-30,175,Call,0,0,81.9,15,72,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,84.75427723104704,84.75427723089852
AMD,2026-01-30,180,Call,0,0,76.62,173,637,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,79.7563996502445,79.75639964781396
AMD,2026-01-30,182.5,Call,0,0,76.76,3,8,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,77.257460868507,77.25746085970086
AMD,2026-01-30,185,Call,0,0,74.7,3,100,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,74.75852211365415,74.75852208382504
AMD,2026-01-30,187.5,Call,0,0,74.24,2,15,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,72.25958344740664,72.25958335281884
AMD,2026-01-30,190,Call,0,0,69.95,94,583,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,69.76064505554379,69.7606447745276
AMD,2026-01-30,192.5,Call,0,0,64.2,2,21,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,67.2617074638232,67.26170668116697
AMD,2026-01-30,195,Call,0,0,62.61,4,135,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,64.76277207402305,64.7627700300076
AMD,2026-01-30,197.5,Call,0,0,62.3,8,69,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,62.26384241405512,62.263837408267406
AMD,2026-01-30,200,Call,0,0,58.93,49,871,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,59.76492688037803,59.76491538883116
AMD,2026-01-30,202.5,Call,0,0,56.51,4,209,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,57.26604440373421,57.26601969541448
AMD,2026-01-30,205,Call,0,0,53.75,29,957,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,54.76723548307294,54.767185795611056
AMD,2026-01-30,207.5,Call,0,0,52.36,8,346,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,52.268582455426525,52.26848920976636
AMD,2026-01-30,210,Call,0,0,49.8,222,2073,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,49.770244634112714,49.77008186231205
AMD,2026-01-30,212.5,Call,0,0,46.68,43,285,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,47.27251578645476,47.27225269641151
AMD,2026-01-30,215,Call,0,0,44.86,292,2002,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,44.7759128007236,44.77552151396953
AMD,2026-01-30,217.5,Call,0,0,41.75,25,1310,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,42.281304508133815,42.28077316767915
AMD,2026-01-30,220,Call,0,0,40.02,475,3263,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,39.79008752576803,39.78943342923568
AMD,2026-01-30,222.5,Call,0,0,37.67,119,662,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,37.304410822488194,37.3036775999187
AMD,2026-01-30,225,Call,0,0,34.57,380,1959,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,34.827442110478245,34.826649695971476
AMD,2026-01-30,227.5,Call,0,0,32.72,248,663,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,32.36365761914573,32.362657950250096
AMD,2026-01-30,230,Call,0,0,30.36,934,3748,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,29.919123912485958,29.917307651656007
AMD,2026-01-30,232.5,Call,0,0,27.73,637,1157,0.0387423127463863,259.67999267578125,0.592350943008552,0.010958904109589041,27.501728821242267,27.497541040837568
