ticker,expiration,K,option_type,bid_price,ask_price,option_price,volume,open_interest,r,S,sigma,q,T,user_bs,user_crr,user_mc
^RUT,2026-01-26,2240,Call,0,0,450.58,1,1,0.0389,2669.159912109375,0.23005902978931697,0,0.0027397260273972603,429.3986281556504,429.3986281556607,429.4019802842656
^RUT,2026-01-26,2260,Call,0,0,410.28,60,30,0.0389,2669.159912109375,0.23005902978931697,0,0.0027397260273972603,409.40075954892063,409.4007595489312,409.4015174041599
^RUT,2026-01-26,2350,Call,0,0,236.26,NA,1,0.0389,2669.159912109375,0.23005902978931697,0,0.0027397260273972603,319.4103508186372,319.41035081864754,319.41403618774234
^RUT,2026-01-26,2405,Call,0,0,106.23,1,1,0.0389,2669.159912109375,0.23005902978931697,0,0.0027397260273972603,264.4162121501304,264.41621215014084,264.4129340469482
^RUT,2026-01-26,2415,Call,0,0,98.2,1,1,0.0389,2669.159912109375,0.23005902978931697,0,0.0027397260273972603,254.4172778467655,254.41727784677607,254.42147610129047
^RUT,2026-01-26,2490,Call,0,0,198.46,1,101,0.0389,2669.159912109375,0.23005902978931697,0,0.0027397260273972603,179.42527059067334,179.4252705777634,179.4264113999189
^RUT,2026-01-26,2500,Call,0,0,188.7,1,1,0.0389,2669.159912109375,0.23005902978931697,0,0.0027397260273972603,169.4263364067242,169.42633632360938,169.42650012391897
^RUT,2026-01-26,2505,Call,0,0,184.22,1,1,0.0389,2669.159912109375,0.23005902978931697,0,0.0027397260273972603,164.42686947384618,164.42686928603547,164.4246794020864
^RUT,2026-01-26,2510,Call,0,0,179.41,1,101,0.0389,2669.159912109375,0.23005902978931697,0,0.0027397260273972603,159.42740286119897,159.4274024468424,159.42574749175034
^RUT,2026-01-26,2525,Call,0,0,205.36,2,2,0.0389,2669.159912109375,0.23005902978931697,0,0.0027397260273972603,144.42901251076955,144.42900768335136,144.4263383603875
^RUT,2026-01-26,2540,Call,0,0,149.37,2,3,0.0389,2669.159912109375,0.23005902978931697,0,0.0027397260273972603,129.43072524257332,129.43069785037605,129.43362193963682
^RUT,2026-01-26,2545,Call,0,0,144.39,2,2,0.0389,2669.159912109375,0.23005902978931697,0,0.0027397260273972603,124.43139421903334,124.43134124925545,124.42787285748246
^RUT,2026-01-26,2550,Call,0,0,80.5,NA,1,0.0389,2669.159912109375,0.23005902978931697,0,0.0027397260273972603,119.43219616212536,119.43207973674808,119.43113163997423
^RUT,2026-01-26,2555,Call,0,0,143.03,6,6,0.0389,2669.159912109375,0.23005902978931697,0,0.0027397260273972603,114.4332470345812,114.4330653140685,114.42831022844084
^RUT,2026-01-26,2560,Call,0,0,170.28,2,3,0.0389,2669.159912109375,0.23005902978931697,0,0.0027397260273972603,109.43475125484156,109.43450620621398,109.43388090847537
